Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit
08/30/2019 17:46,09/17/2019 23:52,EURUSD,Buy,6,0,0,1.10316,1.10717,-12,-950.86,40.1,1210.25
08/30/2019 17:56,09/17/2019 23:52,EURUSD,Buy,6,0,0,1.10221,1.10709,-12,-950.86,48.8,1681.91
08/30/2019 17:56,09/17/2019 23:52,EURUSD,Buy,6,0,0,1.10215,1.1071,-12,-950.86,49.5,1719.82
08/30/2019 17:56,09/17/2019 23:52,EURUSD,Buy,6,0,0,1.10205,1.1071,-12,-950.86,50.5,1774.02
08/30/2019 17:56,09/17/2019 23:52,EURUSD,Buy,6,0,0,1.10194,1.1071,-12,-950.86,51.6,1833.64
08/30/2019 17:56,09/17/2019 23:52,EURUSD,Buy,6,0,0,1.10192,1.10709,-12,-950.86,51.7,1839.08
09/16/2019 11:32,09/17/2019 23:52,EURUSD,Buy,6,0,0,1.1059,1.1071,-12,-61.78,12,576.57
09/16/2019 13:38,09/17/2019 23:51,EURUSD,Buy,6,0,0,1.10471,1.10709,-12,-61.78,23.8,1216.09
09/16/2019 14:53,09/17/2019 23:51,EURUSD,Buy,6,0,0,1.10291,1.1071,-12,-61.78,41.9,2197.02
09/16/2019 16:02,09/17/2019 23:51,EURUSD,Buy,6,0,0,1.10251,1.1071,-12,-61.78,45.9,2413.8
09/16/2019 16:56,09/17/2019 23:50,EURUSD,Buy,6,0,0,1.10139,1.1071,-12,-61.78,57.1,3020.79
09/17/2019 09:07,09/17/2019 10:05,EURUSD,Buy,6,0,0,1.10046,1.10051,-12,0,0.5,15.26
09/17/2019 09:40,09/17/2019 10:05,EURUSD,Buy,6,0,0,1.09969,1.10045,-12,0,7.6,402.38
09/17/2019 09:55,09/17/2019 10:04,EURUSD,Buy,6,0,0,1.09906,1.10052,-12,0,14.6,783.99
09/16/2019 23:14,09/16/2019 23:15,EURUSD,Buy,6,0,0,1.09988,1.1,-12,0,1.2,53.45
09/16/2019 22:59,09/16/2019 23:04,EURUSD,Sell,6,0,0,1.10082,1.10044,-12,0,3.8,195.19
09/16/2019 17:59,09/16/2019 22:57,EURUSD,Buy,6,0,0,1.09974,1.10066,-12,0,9.2,489.52
09/16/2019 17:06,09/16/2019 22:57,EURUSD,Buy,6,0,0,1.10045,1.10067,-12,0,2.2,107.93
08/30/2019 17:56,09/13/2019 23:51,EURUSD,Buy,6,0,0,1.10192,1.10782,-12,-827.69,59,2355.77
08/30/2019 17:56,09/13/2019 23:51,EURUSD,Buy,6,0,0,1.10187,1.10783,-12,-827.69,59.6,2388.24
08/30/2019 17:57,09/13/2019 23:51,EURUSD,Buy,6,0,0,1.10171,1.10785,-12,-827.69,61.4,2485.67
08/30/2019 17:57,09/13/2019 23:50,EURUSD,Buy,6,0,0,1.10156,1.10782,-12,-827.69,62.6,2550.75
09/11/2019 11:04,09/13/2019 23:48,EURUSD,Buy,6,0,0,1.10332,1.10784,-12,-246.66,45.2,2189.35
09/11/2019 11:10,09/13/2019 23:47,EURUSD,Buy,6,0,0,1.10323,1.10784,-12,-246.66,46.1,2238.09
09/11/2019 11:13,09/13/2019 23:47,EURUSD,Buy,6,0,0,1.10308,1.10786,-12,-246.66,47.8,2330.11
09/11/2019 11:20,09/13/2019 23:46,EURUSD,Buy,6,0,0,1.10257,1.10783,-12,-246.66,52.6,2590.15
09/11/2019 13:01,09/13/2019 23:46,EURUSD,Buy,6,0,0,1.10186,1.10787,-12,-246.66,60.1,2996.23
09/11/2019 13:30,09/13/2019 23:46,EURUSD,Buy,6,0,0,1.10152,1.10782,-12,-246.66,63,3153.45
09/11/2019 13:53,09/13/2019 23:43,EURUSD,Buy,6,0,0,1.10099,1.10783,-12,-246.66,68.4,3445.88
09/11/2019 13:58,09/13/2019 23:43,EURUSD,Buy,6,0,0,1.10083,1.10783,-12,-246.66,70,3532.54
09/11/2019 14:00,09/13/2019 23:43,EURUSD,Buy,6,0,0,1.1007,1.10783,-12,-246.66,71.3,3602.94
09/11/2019 14:59,09/13/2019 23:43,EURUSD,Buy,6,0,0,1.09979,1.10783,-12,-246.66,80.4,4095.8
09/11/2019 17:01,09/13/2019 23:43,EURUSD,Buy,6,0,0,1.09933,1.10784,-12,-246.66,85.1,4350.31
09/11/2019 17:02,09/13/2019 23:42,EURUSD,Buy,6,0,0,1.09908,1.10784,-12,-246.66,87.6,4485.71
08/30/2019 17:57,09/06/2019 23:57,EURUSD,Buy,6,0,0,1.10133,1.10245,-12,-408.04,11.2,189.51
08/30/2019 17:57,09/06/2019 23:57,EURUSD,Buy,6,0,0,1.10123,1.10253,-12,-408.04,13,287.42
08/30/2019 17:57,09/06/2019 23:57,EURUSD,Buy,6,0,0,1.10109,1.1025,-12,-408.04,14.1,347.31
08/30/2019 18:01,09/06/2019 23:56,EURUSD,Buy,6,0,0,1.10102,1.10252,-12,-408.04,15,396.27
08/30/2019 18:01,09/06/2019 23:55,EURUSD,Buy,6,0,0,1.10091,1.1025,-12,-408.04,15.9,445.27
08/30/2019 18:02,09/06/2019 23:54,EURUSD,Buy,6,0,0,1.10082,1.1025,-12,-408.04,16.8,494.25
08/30/2019 18:06,09/06/2019 23:47,EURUSD,Buy,6,0,0,1.09944,1.10261,-12,-408.04,31.7,1304.96
08/30/2019 18:06,09/06/2019 23:47,EURUSD,Buy,6,0,0,1.09948,1.10266,-12,-408.04,31.8,1310.32
08/30/2019 18:06,09/06/2019 23:47,EURUSD,Buy,6,0,0,1.09943,1.10266,-12,-408.04,32.3,1337.53
08/30/2019 18:06,09/06/2019 23:45,EURUSD,Buy,6,0,0,1.09919,1.10273,-12,-408.04,35.4,1506.09
08/30/2019 18:07,09/06/2019 23:43,EURUSD,Buy,6,0,0,1.09886,1.10271,-12,-408.04,38.5,1674.8
08/30/2019 18:08,09/06/2019 23:42,EURUSD,Buy,6,0,0,1.09879,1.10271,-12,-408.04,39.2,1712.89
08/30/2019 18:35,09/06/2019 23:42,EURUSD,Buy,6,0,0,1.09898,1.10272,-12,-408.04,37.4,1614.93
08/30/2019 18:36,09/06/2019 23:40,EURUSD,Buy,6,0,0,1.09873,1.10271,-12,-408.04,39.8,1745.53
08/28/2019 16:03,08/28/2019 23:53,EURUSD,Buy,6,0,0,1.10758,1.10762,-12,0,0.4,9.67
08/15/2019 15:31,08/23/2019 18:33,EURUSD,Buy,6,0,0,1.11363,1.11459,-12,-463.67,9.6,41.11
08/15/2019 16:01,08/23/2019 18:32,EURUSD,Buy,6,0,0,1.11361,1.11456,-12,-463.67,9.5,35.74
08/15/2019 16:01,08/23/2019 18:32,EURUSD,Buy,6,0,0,1.11346,1.11457,-12,-463.67,11.1,121.87
08/15/2019 16:43,08/23/2019 18:32,EURUSD,Buy,6,0,0,1.11303,1.1146,-12,-463.67,15.7,369.48
08/15/2019 16:44,08/23/2019 18:32,EURUSD,Buy,6,0,0,1.11287,1.11459,-12,-463.67,17.2,450.23
08/15/2019 16:45,08/23/2019 18:32,EURUSD,Buy,6,0,0,1.11231,1.11456,-12,-463.67,22.5,735.57
08/15/2019 16:45,08/23/2019 18:32,EURUSD,Buy,6,0,0,1.11211,1.11447,-12,-463.67,23.6,794.89
08/15/2019 16:51,08/23/2019 18:31,EURUSD,Buy,6,0,0,1.11164,1.11439,-12,-463.67,27.5,1004.96
08/15/2019 16:48,08/23/2019 18:31,EURUSD,Buy,6,0,0,1.11177,1.11444,-12,-463.67,26.7,961.82
08/15/2019 16:47,08/23/2019 18:31,EURUSD,Buy,6,0,0,1.11189,1.1144,-12,-463.67,25.1,875.73
08/15/2019 16:52,08/23/2019 18:31,EURUSD,Buy,6,0,0,1.1113,1.11446,-12,-463.67,31.6,1225.6
08/15/2019 16:56,08/23/2019 18:31,EURUSD,Buy,6,0,0,1.111,1.11451,-12,-463.67,35.1,1413.95
08/15/2019 17:18,08/23/2019 18:31,EURUSD,Buy,6,0,0,1.11075,1.11458,-12,-463.67,38.3,1586.09
08/15/2019 16:57,08/23/2019 18:31,EURUSD,Buy,6,0,0,1.11087,1.1146,-12,-463.67,37.3,1532.23
08/15/2019 17:19,08/23/2019 18:31,EURUSD,Buy,6,0,0,1.11059,1.11451,-12,-463.67,39.2,1634.67
08/15/2019 17:20,08/23/2019 18:31,EURUSD,Buy,6,0,0,1.11029,1.11448,-12,-463.67,41.9,1780.09
08/15/2019 17:22,08/23/2019 18:31,EURUSD,Buy,6,0,0,1.10994,1.11448,-12,-463.67,45.4,1968.52
08/15/2019 17:22,08/23/2019 18:31,EURUSD,Buy,6,0,0,1.10978,1.11441,-12,-463.67,46.3,2017.13
08/15/2019 17:24,08/23/2019 18:31,EURUSD,Buy,6,0,0,1.10919,1.11445,-12,-463.67,52.6,2356.22
08/16/2019 10:40,08/23/2019 18:31,EURUSD,Buy,6,0,0,1.10881,1.11438,-12,-405.26,55.7,2581.72
08/16/2019 10:42,08/23/2019 18:30,EURUSD,Buy,6,0,0,1.1087,1.11441,-12,-405.26,57.1,2657.01
08/16/2019 11:01,08/23/2019 18:30,EURUSD,Buy,6,0,0,1.10846,1.11448,-12,-405.26,60.2,2823.71
08/20/2019 18:41,08/23/2019 18:30,EURUSD,Buy,6,0,0,1.10899,1.11447,-12,-288.18,54.8,2650.1
08/22/2019 12:35,08/23/2019 18:30,EURUSD,Buy,6,0,0,1.10804,1.11442,-12,-57.45,63.8,3365.52
08/23/2019 12:12,08/23/2019 18:30,EURUSD,Buy,6,0,0,1.10668,1.1144,-12,0,77.2,4144.5
08/23/2019 12:29,08/23/2019 18:30,EURUSD,Buy,6,0,0,1.10656,1.11437,-12,0,78.1,4193.07
08/23/2019 12:31,08/23/2019 18:30,EURUSD,Buy,6,0,0,1.10636,1.11436,-12,0,80,4295.41
08/23/2019 12:42,08/23/2019 18:29,EURUSD,Buy,6,0,0,1.10598,1.11419,-12,0,82.1,4409.15
08/23/2019 12:44,08/23/2019 18:29,EURUSD,Buy,6,0,0,1.10573,1.11425,-12,0,85.2,4575.84
08/22/2019 12:40,08/22/2019 23:56,EURUSD,Buy,6,0,0,1.10734,1.10804,-12,0,7,367.05
