Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price,Commission,Swap,Pips
12/19/2019 21:52,12/19/2019 22:13,GBPUSD,Buy,0.3,1.30093,1.30231,-2.1,0,13.8
12/19/2019 15:45,12/19/2019 16:53,USDJPY,Sell,0.5,109.384,109.313,-3.5,0,7.1
12/19/2019 15:44,12/19/2019 16:53,USDJPY,Sell,0.5,109.39,109.312,-3.5,0,7.8
12/19/2019 15:52,12/19/2019 16:53,GBPUSD,Buy,0.3,1.30445,1.30454,-2.1,0,0.9
12/19/2019 15:48,12/19/2019 16:52,AUDUSD,Buy,0.5,0.68653,0.6872,-3.5,0,6.7
12/19/2019 15:44,12/19/2019 16:52,USDJPY,Sell,0.5,109.391,109.315,-3.5,0,7.6
12/19/2019 15:49,12/19/2019 16:48,EURUSD,Buy,0.5,1.11178,1.11202,-3.5,0,2.4
12/19/2019 15:48,12/19/2019 16:48,AUDUSD,Buy,0.5,0.68652,0.68712,-3.5,0,6
12/19/2019 14:09,12/19/2019 15:14,XAUUSD,Buy,0.3,1474.8,1474.64,-2.1,0,-16
12/19/2019 13:28,12/19/2019 15:13,XAUUSD,Buy,0.1,1474.35,1474.63,-0.7,0,28
12/19/2019 14:10,12/19/2019 15:08,USDJPY,Sell,0.5,109.462,109.491,-3.5,0,-2.9
12/19/2019 14:04,12/19/2019 15:08,XAUUSD,Buy,0.3,1474.61,1474.96,-2.1,0,35
12/19/2019 14:02,12/19/2019 15:08,XAUUSD,Buy,0.3,1474.6,1474.97,-2.1,0,37
12/19/2019 14:10,12/19/2019 15:08,USDJPY,Sell,0.5,109.462,109.484,-3.5,0,-2.2
12/19/2019 09:16,12/19/2019 15:08,USDJPY,Sell,0.5,109.565,109.484,-3.5,0,8.1
12/19/2019 11:33,12/19/2019 14:07,USDJPY,Sell,0.5,109.562,109.483,-3.5,0,7.9
12/19/2019 11:34,12/19/2019 14:07,USDJPY,Sell,0.5,109.567,109.484,-3.5,0,8.3
12/19/2019 12:23,12/19/2019 13:59,GBPUSD,Buy,0.3,1.30968,1.30754,-2.1,0,-21.4
12/19/2019 12:23,12/19/2019 13:59,GBPUSD,Buy,0.3,1.30955,1.3074,-2.1,0,-21.5
12/19/2019 09:16,12/19/2019 13:57,USDJPY,Sell,0.5,109.566,109.499,-3.5,0,6.7
12/19/2019 09:31,12/19/2019 13:56,USDJPY,Sell,0.5,109.565,109.492,-3.5,0,7.3
12/19/2019 09:31,12/19/2019 13:56,USDJPY,Sell,0.5,109.566,109.492,-3.5,0,7.4
12/19/2019 11:31,12/19/2019 12:04,GBPUSD,Buy,0.3,1.30957,1.31109,-2.1,0,15.2
12/19/2019 11:31,12/19/2019 11:47,GBPUSD,Buy,0.3,1.30947,1.31033,-2.1,0,8.6
12/19/2019 11:42,12/19/2019 11:47,GBPUSD,Buy,0.3,1.30931,1.31033,-2.1,0,10.2
12/19/2019 09:16,12/19/2019 11:33,GBPUSD,Buy,0.3,1.30977,1.30881,-2.1,0,-9.6
12/19/2019 10:42,12/19/2019 11:33,GBPUSD,Buy,0.3,1.31073,1.30881,-2.1,0,-19.2
12/19/2019 09:13,12/19/2019 11:30,GBPUSD,Buy,0.3,1.30969,1.30914,-2.1,0,-5.5
12/19/2019 09:01,12/19/2019 11:30,GBPUSD,Buy,0.3,1.3097,1.30914,-2.1,0,-5.6
12/19/2019 10:47,12/19/2019 11:30,GBPUSD,Buy,0.3,1.30996,1.30914,-2.1,0,-8.2
12/19/2019 05:53,12/19/2019 09:40,EURUSD,Sell,0.5,1.11304,1.11302,-3.5,0,0.2
12/19/2019 05:53,12/19/2019 09:40,EURUSD,Sell,0.5,1.11304,1.11301,-3.5,0,0.3
12/19/2019 05:38,12/19/2019 09:16,EURUSD,Sell,0.5,1.11308,1.11314,-3.5,0,-0.6
12/19/2019 05:37,12/19/2019 09:16,EURUSD,Sell,0.5,1.11315,1.1131,-3.5,0,0.5
12/19/2019 09:01,12/19/2019 09:15,XAUUSD,Sell,0.3,1476.16,1476.77,-2.1,0,-61
12/19/2019 09:01,12/19/2019 09:11,GBPUSD,Buy,0.3,1.30951,1.30938,-2.1,0,-1.3
12/19/2019 05:38,12/19/2019 07:59,XAUUSD,Sell,0.2,1477.66,1476.48,-1.4,0,118
12/19/2019 01:19,12/19/2019 05:43,GBPUSD,Buy,0.3,1.30831,1.30874,-2.1,0,4.3
12/18/2019 16:36,12/19/2019 05:42,USDJPY,Sell,0.5,109.538,109.576,-3.5,-10.91,-3.8
12/19/2019 00:47,12/19/2019 05:40,GBPUSD,Buy,0.3,1.30811,1.30876,-2.1,0,6.5
12/18/2019 16:40,12/19/2019 05:33,USDJPY,Sell,0.5,109.54,109.571,-3.5,-10.91,-3.1
12/18/2019 16:39,12/19/2019 05:33,USDJPY,Sell,0.5,109.544,109.57,-3.5,-10.91,-2.6
12/18/2019 15:46,12/19/2019 05:31,GBPUSD,Buy,0.1,1.30682,1.30876,-0.7,-2.12,19.4
12/18/2019 15:47,12/19/2019 05:31,GBPUSD,Buy,0.1,1.30687,1.30876,-0.7,-2.12,18.9
12/18/2019 17:07,12/19/2019 05:31,GBPUSD,Buy,0.1,1.30757,1.30875,-0.7,-2.12,11.8
12/18/2019 19:39,12/19/2019 05:29,GBPUSD,Buy,0.3,1.30779,1.30875,-2.1,-6.35,9.6
12/18/2019 15:41,12/19/2019 05:23,USDJPY,Sell,0.3,109.603,109.576,-2.1,-6.55,2.7
12/18/2019 15:32,12/19/2019 05:23,USDJPY,Sell,0.3,109.591,109.576,-2.1,-6.55,1.5
12/18/2019 15:48,12/19/2019 05:23,USDJPY,Sell,0.3,109.604,109.576,-2.1,-6.55,2.8
12/18/2019 20:18,12/19/2019 05:23,USDJPY,Sell,0.3,109.622,109.576,-2.1,-6.55,4.6
