Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
,10/17/2019 08:49,10/18/2019 14:56,EURUSD,Buy,6.00,0.00000,0.00000,1.10702,1.11452,-12.0000,-64.7300,75.0,3960.88,0.37,"",0,01:06:07:36,98.1,1d 5h ,26.6,0.05,75.0,4037.25,-3.4,-183.022,95.7,100.0,0.00,0.00
,10/17/2019 08:49,10/18/2019 14:56,EURUSD,Buy,6.00,0.00000,0.00000,1.10711,1.11451,-12.0000,-64.7300,74.0,3907.08,0.37,"",0,01:06:06:41,97.3,1d 5h ,26.6,0.06,74.0,3984.1600000000003,-4.3,-231.512,94.5,100.0,0.00,0.00
,10/17/2019 08:50,10/18/2019 14:56,EURUSD,Buy,6.00,0.00000,0.00000,1.10706,1.11453,-12.0000,-64.7300,74.7,3944.70,0.37,"",0,01:06:06:25,97.6,1d 5h ,26.6,0.05,74.7,4021.101,-3.8,-204.55399999999997,95.2,100.0,0.00,0.00
,10/17/2019 08:50,10/18/2019 14:56,EURUSD,Buy,6.00,0.00000,0.00000,1.10698,1.11455,-12.0000,-64.7300,75.7,3998.46,0.38,"",0,01:06:05:43,98.7,1d 5h ,26.6,0.04,75.7,4074.931,-3.0,-161.49,96.2,100.0,0.00,0.00
,10/17/2019 08:50,10/18/2019 14:56,EURUSD,Buy,6.00,0.00000,0.00000,1.10706,1.11458,-12.0000,-64.7300,75.2,3971.43,0.38,"",0,01:06:06:01,97.6,1d 5h ,26.6,0.05,75.2,4048.016,-3.8,-204.55399999999997,95.2,100.0,0.00,0.00
,10/17/2019 08:50,10/18/2019 14:56,EURUSD,Buy,6.00,0.00000,0.00000,1.10703,1.11457,-12.0000,-64.7300,75.4,3982.23,0.38,"",0,01:06:05:17,98.1,1d 5h ,26.6,0.05,75.4,4058.782,-3.5,-188.405,95.6,100.0,0.00,0.00
,10/17/2019 08:51,10/18/2019 14:56,EURUSD,Buy,6.00,0.00000,0.00000,1.10708,1.11462,-12.0000,-64.7300,75.4,3982.05,0.38,"",0,01:06:04:24,97.6,1d 5h ,26.6,0.05,75.4,4058.782,-4.0,-215.32,95.0,100.0,0.00,0.00
,10/17/2019 08:52,10/18/2019 14:56,EURUSD,Buy,6.00,0.00000,0.00000,1.10704,1.11461,-12.0000,-64.7300,75.7,3998.24,0.38,"",0,01:06:04:04,98.1,1d 5h ,26.6,0.05,75.7,4074.931,-3.6,-193.788,95.5,100.0,0.00,0.00
,10/17/2019 08:52,10/18/2019 14:56,EURUSD,Buy,6.00,0.00000,0.00000,1.10703,1.11461,-12.0000,-64.7300,75.8,4003.62,0.38,"",0,01:06:03:07,98.1,1d 5h ,26.6,0.05,75.8,4080.314,-3.5,-188.405,95.6,100.0,0.00,0.00
,10/17/2019 08:52,10/18/2019 14:55,EURUSD,Buy,6.00,0.00000,0.00000,1.10708,1.11463,-12.0000,-64.7300,75.5,3987.40,0.38,"",0,01:06:02:57,97.6,1d 5h ,26.6,0.05,75.5,4064.165,-4.0,-215.32,95.0,100.0,0.00,0.00
,10/17/2019 08:55,10/18/2019 14:55,EURUSD,Buy,6.00,0.00000,0.00000,1.10709,1.11461,-12.0000,-64.7300,75.2,3971.32,0.38,"",0,01:06:00:26,97.3,1d 5h ,26.6,0.05,75.2,4048.016,-4.1,-220.70299999999997,94.8,100.0,0.00,0.00
,10/17/2019 09:01,10/18/2019 14:55,EURUSD,Buy,6.00,0.00000,0.00000,1.10707,1.11461,-12.0000,-64.7300,75.4,3982.09,0.39,"",0,01:05:54:41,97.5,1d 5h ,26.6,0.05,75.4,4058.782,-3.9,-209.93699999999998,95.1,100.0,0.00,0.00
,10/17/2019 09:03,10/18/2019 14:55,EURUSD,Buy,6.00,0.00000,0.00000,1.10703,1.11452,-12.0000,-64.7300,74.9,3955.50,0.39,"",0,01:05:52:31,98.1,1d 5h ,26.6,0.05,74.9,4031.867,-3.5,-188.405,95.5,100.0,0.00,0.00
,10/17/2019 13:42,10/18/2019 14:42,EURUSD,Buy,6.00,0.00000,0.00000,1.11102,1.11449,-12.0000,-64.7300,34.7,1791.39,0.18,"",0,01:01:00:22,99.0,1d ,20.1,0.21,34.7,1868.2480000000003,-7.2,-387.648,82.8,100.0,0.00,0.00
,10/17/2019 13:42,10/18/2019 14:42,EURUSD,Buy,6.00,0.00000,0.00000,1.11101,1.11447,-12.0000,-64.7300,34.6,1786.04,0.17,"",0,01:00:59:30,99.0,1d ,20.1,0.20,34.8,1873.632,-7.1,-382.264,83.1,99.5,-0.20,-10.77
,10/18/2019 01:21,10/18/2019 14:42,EURUSD,Buy,6.00,0.00000,0.00000,1.11253,1.11451,-12.0000,0.0000,19.8,1053.94,0.10,"",0,00:13:21:01,48.4,6h 27m,15.7,0.55,19.8,1066.0320000000002,-10.8,-581.4720000000001,64.7,100.0,0.00,0.00
,10/18/2019 01:22,10/18/2019 14:42,EURUSD,Buy,6.00,0.00000,0.00000,1.11253,1.11449,-12.0000,0.0000,19.6,1043.19,0.10,"",0,00:13:19:26,48.4,6h 26m,15.7,0.55,19.7,1060.6480000000001,-10.8,-581.4720000000001,64.6,99.7,-0.10,-5.38
,10/18/2019 01:23,10/18/2019 14:41,EURUSD,Buy,6.00,0.00000,0.00000,1.11251,1.11451,-12.0000,0.0000,20.0,1064.71,0.10,"",0,00:13:17:52,51.3,6h 49m,15.7,0.53,20.0,1076.8000000000002,-10.6,-570.7040000000001,65.4,100.0,0.00,0.00
,10/18/2019 01:27,10/18/2019 14:40,EURUSD,Buy,6.00,0.00000,0.00000,1.11249,1.11451,-12.0000,0.0000,20.2,1075.47,0.11,"",0,00:13:13:05,55.4,7h 19m,15.7,0.51,20.2,1087.568,-10.4,-559.936,66.0,100.0,0.00,0.00
,10/18/2019 01:40,10/18/2019 14:39,EURUSD,Buy,6.00,0.00000,0.00000,1.11249,1.11451,-12.0000,0.0000,20.2,1075.47,0.11,"",0,00:12:59:43,55.2,7h 10m,15.7,0.51,20.2,1087.568,-10.4,-559.936,66.0,100.0,0.00,0.00
,10/18/2019 08:56,10/18/2019 14:39,EURUSD,Buy,6.00,0.00000,0.00000,1.11225,1.11452,-12.0000,0.0000,22.7,1210.05,0.12,"",0,00:05:43:31,72.4,4h 8m,9.1,0.35,22.7,1221.941,-8.0,-430.64,73.9,100.0,0.00,0.00
,10/18/2019 08:56,10/18/2019 14:39,EURUSD,Buy,6.00,0.00000,0.00000,1.11219,1.11452,-12.0000,0.0000,23.3,1242.35,0.12,"",0,00:05:43:13,75.9,4h 20m,9.1,0.32,23.3,1254.239,-7.4,-398.342,75.9,100.0,0.00,0.00
,10/18/2019 09:22,10/18/2019 14:39,EURUSD,Buy,6.00,0.00000,0.00000,1.11188,1.11451,-12.0000,0.0000,26.3,1403.87,0.14,"",0,00:05:16:32,86.8,4h 34m,7.3,0.16,26.3,1415.9920000000002,-4.3,-231.512,85.9,100.0,0.00,0.00
,10/18/2019 09:27,10/18/2019 14:39,EURUSD,Buy,6.00,0.00000,0.00000,1.11172,1.11453,-12.0000,0.0000,28.1,1500.75,0.15,"",0,00:05:11:54,94.0,4h 53m,7.3,0.10,28.1,1512.623,-2.7,-145.341,91.2,100.0,0.00,0.00
,10/18/2019 09:50,10/18/2019 14:39,EURUSD,Buy,6.00,0.00000,0.00000,1.11156,1.11451,-12.0000,0.0000,29.5,1576.14,0.16,"",0,00:04:48:56,99.7,4h 48m,6.4,0.03,29.5,1588.2800000000002,0.0,0.0,100.0,100.0,0.00,0.00
,10/17/2019 13:42,10/17/2019 23:49,EURUSD,Buy,6.00,0.00000,0.00000,1.11092,1.11265,-12.0000,0.0000,17.3,920.91,0.09,"",0,00:10:06:47,98.4,9h 57m,21.2,0.28,22.4,1208.032,-6.2,-334.366,78.3,82.2,-5.10,-275.04
,10/17/2019 13:42,10/17/2019 23:47,EURUSD,Buy,6.00,0.00000,0.00000,1.11097,1.11267,-12.0000,0.0000,17.0,904.71,0.09,"",0,00:10:04:34,97.9,9h 51m,21.2,0.31,21.9,1180.848,-6.7,-361.264,76.6,82.9,-4.90,-264.21
,10/17/2019 14:07,10/17/2019 23:47,EURUSD,Buy,6.00,0.00000,0.00000,1.11078,1.11268,-12.0000,0.0000,19.0,1012.55,0.10,"",0,00:09:40:23,99.0,9h 34m,21.2,0.20,23.8,1283.296,-4.8,-258.816,83.2,83.2,-4.80,-258.82
,10/17/2019 14:07,10/17/2019 23:47,EURUSD,Buy,6.00,0.00000,0.00000,1.11077,1.11267,-12.0000,0.0000,19.0,1012.56,0.10,"",0,00:09:40:11,99.0,9h 34m,21.2,0.20,23.9,1288.6879999999999,-4.7,-253.424,83.6,82.9,-4.90,-264.21
,10/17/2019 14:07,10/17/2019 23:47,EURUSD,Buy,6.00,0.00000,0.00000,1.11074,1.11267,-12.0000,0.0000,19.3,1028.74,0.10,"",0,00:09:39:44,99.0,9h 33m,21.2,0.18,24.2,1304.864,-4.4,-237.24800000000002,84.6,82.9,-4.90,-264.21
,10/17/2019 15:18,10/17/2019 23:46,EURUSD,Buy,6.00,0.00000,0.00000,1.11040,1.11268,-12.0000,0.0000,22.8,1217.46,0.12,"",0,00:08:27:22,100.0,8h 27m,18.4,0.04,27.6,1488.1920000000002,0.0,0.0,100.0,82.6,-4.80,-258.82
,10/17/2019 19:29,10/17/2019 19:31,EURUSD,Sell,6.00,0.00000,0.00000,1.11315,1.11311,-12.0000,0.0000,0.4,9.56,0.00,"",0,00:00:01:19,,,,,,,,,,,,
,08/26/2019 20:17,10/17/2019 13:25,EURUSD,Buy,6.00,0.00000,0.00000,1.10999,1.11242,-12.0000,-3552.8300,24.3,-2254.17,-0.22,"",0,51:17:08:33,1.7,21h 5m,233.0,9.03,24.3,1310.742,-219.5,-11839.83,10.0,100.0,0.00,0.00
,08/27/2019 16:07,10/17/2019 13:25,EURUSD,Buy,6.00,0.00000,0.00000,1.10950,1.11227,-12.0000,-3495.4800,27.7,-2013.24,-0.20,"",0,50:21:18:17,0.6,7h 19m,222.1,7.75,27.7,1494.138,-214.6,-11575.524,11.4,100.0,0.00,0.00
,09/18/2019 09:57,10/17/2019 13:23,EURUSD,Buy,6.00,0.00000,0.00000,1.10609,1.11218,-12.0000,-2191.4100,60.9,1082.03,0.11,"",0,29:03:25:51,4.0,1d 3h ,187.5,2.96,60.9,3285.5550000000003,-180.5,-9737.975,25.2,100.0,0.00,0.00
