Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Gain
04/14/2021 18:27,04/14/2021 18:59,XAUUSD,Buy,0.16,1734.04,1737.39,335,53.6,00:00:31:59,1.00%
04/14/2021 18:04,04/14/2021 18:59,XAUUSD,Buy,0.02,1736.31,1737.39,108,2.16,00:00:54:46,0.04%
04/14/2021 19:05,04/15/2021 03:13,XAUUSD,Buy,0.01,1735.7,1737.98,228,2.28,00:08:08:02,0.04%
04/15/2021 16:32,04/15/2021 17:09,XAUUSD,Sell,0.21,1752.75,1760.68,-793,-166.53,00:00:37:25,-3.08%
04/15/2021 18:39,04/16/2021 04:04,XAUUSD,Sell,0.16,1768.6,1762.33,627,100.32,00:09:25:01,1.91%
04/16/2021 05:28,04/16/2021 06:50,XAUUSD,Buy,0.16,1760.26,1762.74,248,39.68,00:01:21:25,0.74%
04/16/2021 06:50,04/16/2021 09:31,XAUUSD,Sell,0.16,1762.76,1762.13,63,10.08,00:02:41:01,0.19%
04/16/2021 09:31,04/19/2021 16:10,XAUUSD,Sell,0.21,1762.03,1773.28,-1125,-236.25,03:06:39:10,-4.38%
04/19/2021 16:20,04/19/2021 16:31,XAUUSD,Buy,0.16,1768.24,1773.16,492,78.72,00:00:10:44,1.53%
04/19/2021 17:07,04/19/2021 17:32,XAUUSD,Sell,0.02,1772.55,1771.17,138,2.76,00:00:24:57,0.05%
04/20/2021 04:32,04/20/2021 04:35,XAUUSD,Sell,0.02,1771.73,1770.28,145,2.9,00:00:03:27,0.06%
04/20/2021 05:36,04/20/2021 06:05,XAUUSD,Buy,0.17,1765.87,1770.25,438,74.46,00:00:28:38,1.42%
04/20/2021 09:31,04/20/2021 10:36,XAUUSD,Buy,0.04,1768.4,1771.88,348,13.92,00:01:04:55,0.26%
04/20/2021 10:36,04/20/2021 10:38,XAUUSD,Buy,0.32,1772.0,1773.35,135,43.2,00:00:01:54,0.81%
04/20/2021 11:22,04/20/2021 11:28,XAUUSD,Sell,0.02,1769.7,1767.81,189,3.78,00:00:05:23,0.07%
04/20/2021 11:28,04/20/2021 11:30,XAUUSD,Buy,0.04,1765.85,1766.95,110,4.4,00:00:01:49,0.08%
04/20/2021 12:35,04/20/2021 12:51,XAUUSD,Buy,0.32,1764.28,1766.66,238,76.16,00:00:15:51,1.42%
04/22/2021 16:21,04/22/2021 16:22,XAUUSD,Buy,0.21,1779.7,1781.14,144,30.24,00:00:01:00,0.55%
04/22/2021 18:18,04/22/2021 20:00,XAUUSD,Buy,0.32,1782.8,1781.92,-88,-28.16,00:01:41:37,-0.51%
04/23/2021 04:41,04/23/2021 07:32,XAUUSD,Sell,0.16,1788.58,1784.5,408,65.28,00:02:51:02,1.18%
04/23/2021 04:20,04/23/2021 07:32,XAUUSD,Sell,0.17,1787.54,1784.5,304,51.68,00:03:12:03,0.95%
04/23/2021 10:10,04/23/2021 12:56,XAUUSD,Buy,0.17,1786.89,1786.6,-29,-4.93,00:02:46:23,-0.09%
04/23/2021 12:56,04/23/2021 13:53,XAUUSD,Buy,0.17,1786.71,1788.2,149,25.33,00:00:57:01,0.45%
04/23/2021 14:10,04/23/2021 14:30,XAUUSD,Buy,0.17,1785.92,1788.35,243,41.31,00:00:19:53,0.74%
04/23/2021 17:17,04/26/2021 06:20,XAUUSD,Buy,0.32,1776.75,1782.1,535,171.2,02:13:02:49,3.03%
