Open Date,Close Date,Symbol,Action,Lots,Open Price,Close Price
10/24/2019 05:04,10/24/2019 09:59,GBPUSD,Buy,0.05,1.29252,1.29352
10/23/2019 20:33,,,Withdrawal,0.01,0,0
10/23/2019 14:39,10/23/2019 20:17,GBPUSD,Sell,0.05,1.28688,1.28794
10/23/2019 20:01,10/23/2019 20:08,GBPUSD,Sell,0.05,1.28775,1.28754
10/23/2019 20:01,10/23/2019 20:08,GBPUSD,Sell,0.05,1.28777,1.28757
10/23/2019 20:06,10/23/2019 20:08,GBPUSD,Sell,0.05,1.28859,1.28766
10/23/2019 20:06,10/23/2019 20:08,GBPUSD,Sell,0.05,1.28856,1.28774
10/23/2019 20:06,10/23/2019 20:08,GBPUSD,Sell,0.05,1.28856,1.28765
10/23/2019 17:45,10/23/2019 19:35,GBPUSD,Sell,0.05,1.28768,1.28762
10/23/2019 17:47,10/23/2019 19:35,GBPUSD,Sell,0.05,1.28814,1.28758
10/23/2019 17:49,10/23/2019 19:35,GBPUSD,Sell,0.05,1.28855,1.28755
10/23/2019 15:12,10/23/2019 17:31,GBPUSD,Sell,0.05,1.28742,1.28737
10/23/2019 15:29,10/23/2019 17:30,GBPUSD,Sell,0.05,1.28768,1.28742
10/23/2019 15:39,10/23/2019 17:30,GBPUSD,Sell,0.05,1.28837,1.28739
10/23/2019 15:42,10/23/2019 17:30,GBPUSD,Sell,0.05,1.28878,1.28738
10/23/2019 14:49,10/23/2019 14:56,GBPUSD,Sell,0.05,1.28759,1.28683
10/23/2019 13:41,10/23/2019 14:02,GBPUSD,Sell,0.05,1.28718,1.28596
10/23/2019 13:33,10/23/2019 13:39,GBPUSD,Sell,0.05,1.28739,1.28668
10/23/2019 08:19,10/23/2019 11:51,GBPUSD,Sell,0.05,1.28557,1.28463
10/23/2019 11:01,10/23/2019 11:33,GBPUSD,Sell,0.05,1.28665,1.28546
10/23/2019 10:48,10/23/2019 10:59,GBPUSD,Sell,0.05,1.28676,1.28591
10/23/2019 10:53,10/23/2019 10:56,GBPUSD,Sell,0.05,1.28712,1.28668
10/23/2019 09:12,10/23/2019 10:28,GBPUSD,Sell,0.05,1.28742,1.28619
10/23/2019 01:03,10/23/2019 05:55,GBPUSD,Sell,0.05,1.28693,1.28521
10/22/2019 14:00,10/22/2019 14:28,GBPUSD,Buy,0.05,1.29563,1.29554
10/22/2019 14:19,10/22/2019 14:28,GBPUSD,Buy,0.05,1.29518,1.29553
10/22/2019 14:22,10/22/2019 14:28,GBPUSD,Buy,0.05,1.2946,1.29553
10/22/2019 10:48,10/22/2019 11:01,GBPUSD,Sell,0.05,1.29421,1.29417
10/22/2019 10:52,10/22/2019 11:01,GBPUSD,Sell,0.05,1.29502,1.29427
