Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Pips,Profit,Duration (DD:HH:MM:SS),Change %,,
11/27/2017 03:45,11/27/2017 16:45,EURUSD,Buy,2.43,0,0,1.19194,1.19354,16,388.8,00:13:00:00,0.67,,57606.03
11/27/2017 03:46,11/27/2017 16:45,EURUSD,Buy,2.43,0,0,1.19188,1.19354,16.6,403.38,00:12:59:00,0.69,,57217.23
11/27/2017 03:44,11/27/2017 03:45,EURUSD,Sell,2.43,0,0,1.19178,1.19194,-1.6,-38.88,00:00:01:00,-0.07,,56813.85
11/24/2017 23:47,11/27/2017 03:43,EURUSD,Sell,2.4,0,0,1.19295,1.19192,10.3,259.37,02:03:56:00,0.45,,56852.73
11/24/2017 23:48,11/27/2017 03:43,EURUSD,Sell,2.4,0,0,1.1929,1.19192,9.8,247.37,02:03:55:00,0.43,,56593.36
11/24/2017 15:52,11/24/2017 23:46,EURUSD,Buy,2.34,0,0,1.18943,1.19283,34,795.6,00:07:54:00,1.43,,56345.99
11/24/2017 15:53,11/24/2017 23:46,EURUSD,Buy,2.34,0,0,1.18949,1.19283,33.4,781.56,00:07:53:00,1.38,,55550.39
11/24/2017 13:10,11/24/2017 15:51,EURUSD,Buy,2.29,0,0,1.18645,1.18967,32.2,737.38,00:02:41:00,1.36,,54768.83
11/24/2017 13:11,11/24/2017 15:51,EURUSD,Buy,2.29,0,0,1.18644,1.18967,32.3,739.67,00:02:40:00,1.34,,54031.45
11/24/2017 13:09,11/24/2017 13:10,EURUSD,Buy,2.29,0,0,1.18645,1.18635,-1,-22.9,00:00:01:00,-0.04,,53291.78
11/24/2017 13:08,11/24/2017 13:09,EURUSD,Buy,2.29,0,0,1.1865,1.18635,-1.5,-34.35,00:00:01:00,-0.06,,53314.68
11/24/2017 06:01,11/24/2017 13:07,EURUSD,Buy,2.26,0,0,1.18482,1.18647,16.5,372.9,00:07:06:00,0.7,,53349.03
